EN_ARI	SV_ARI		EN_CLI	SV_CLI		EN_LIX	SV_LIX
14.3070426478	13.0828087591		13.7209459241	16.6894690265		13.7209459241	49.9586791148
14.3517522707	13.085872214		13.7245507813	16.7049001332		13.7245507813	50.1100595897
14.3587021104	13.1240400844		13.7325222552	16.7596923077		13.7325222552	50.28431109
14.3673236623	13.1308308641		13.7414854329	16.7706524064		13.7414854329	50.3483343949
14.3688600742	13.1539979831		13.7480390195	16.7738864402		13.7480390195	50.365742445
14.3753067872	13.1806094578		13.749043659	16.7948101266		13.749043659	50.3914343299
14.39198888	13.2051459141		13.7521056165	16.8141313869		13.7521056165	50.4230266556
14.4006937751	13.2197305162		13.7629980732	16.8252920962		13.7629980732	50.4244571077
14.4031195857	13.2375570147		13.7676227619	16.8274337427		13.7676227619	50.4803241135
14.4043041527	13.301622807		13.7699623116	16.8596093023		13.7699623116	50.7253720186
14.4053260046	13.3048151634		13.7781497999	16.8736671177		13.7781497999	50.8172519368
14.457319604	13.3431418753		13.7834898751	16.9316949976		13.7834898751	50.9064234734
14.4624341109	13.3563178957		13.7876474413	16.9502122347		13.7876474413	50.9915611814
14.4707652363	13.3597081977		13.8127441727	16.9915229358		13.8127441727	51.049392403
14.4768804184	13.4096361782		13.8141822722	16.9931746032		13.8141822722	51.1642583059
14.4984964789	13.430106534		13.8453538038	17.0016962525		13.8453538038	51.209868557
14.500614013	13.4547176788		13.8698028169	17.0167664068		13.8698028169	51.2371134021
14.5008174239	13.4811561817		13.8797333742	17.0361886317		13.8797333742	51.2461517022
14.5070701564	13.5154471585		13.8911718119	17.0518897108		13.8911718119	51.3876547128
14.5464371807	13.5265280598		13.8941945701	17.0663331049		13.8941945701	51.4142333072
14.5635609014	13.5305180154		13.8962653826	17.0930347349		13.8962653826	51.4647499381
14.616255306	13.653112786		13.8963394047	17.1303353535		13.8963394047	51.4967920405
14.6223599132	13.7094399369		13.9090852266	17.1372585097		13.9090852266	51.5405456672
14.6341432808	13.7244843618		13.9135047129	17.1650241546		13.9135047129	51.6040903541
14.6697405036	13.7324550936		13.9160262551	17.1979321084		13.9160262551	51.6808908535
14.6709960385	13.7370121104		13.9271222725	17.2395749029		13.9271222725	51.7393956522
14.6866055511	13.7990835958		13.9484602076	17.3490177936		13.9484602076	51.7514087358
